Titulacion,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Grado en Administración y Dirección de Empresas,250,221,229,242,257,249
Grado en Antropología Social y Cultural,0,0,0,0,5,0
Grado en Biomedicina y Terapias Avanzadas,0,0,0,0,40,43
Grado en Ciencias de la Actividad Física y del Deporte,0,0,0,45,40,40
Grado en Comercio,192,198,172,138,140,142
Grado en Criminología,0,0,0,0,60,62
Grado en Derecho,244,224,238,230,246,229
Grado en Economía,85,69,61,58,62,60
Grado en Educación Infantil,240,217,243,237,265,262
Grado en Educación Primaria,385,403,418,385,417,429
Grado en Educación Social,75,84,79,74,73,63
Grado en Enfermería,291,288,287,290,289,290
Grado en Enología,21,21,18,23,20,7
Grado en Español: Lengua y Literatura,35,35,39,21,29,32
Grado en Estadística,21,23,24,17,16,18
Grado en Estudios Clásicos,16,20,4,20,20,20
Grado en Estudios Ingleses,52,78,61,74,71,59
Grado en Filosofía,23,28,31,25,24,20
"Grado en Finanzas, Banca y Seguros",50,51,34,33,28,30
Grado en Fisioterapia,50,50,50,50,49,50
Grado en Fundamentos de la Arquitectura,99,89,83,94,93,116
Grado en Física,54,54,56,55,52,52
Grado en Geografía y Planificación Territorial,13,9,18,15,13,9
Grado en Historia,61,69,74,65,67,74
Grado en Historia del Arte,33,28,25,31,30,33
Grado en Historia y Ciencias de la Música,28,19,19,17,20,13
Grado en Ingeniería Agraria y Energética,11,9,8,18,10,4
Grado en Ingeniería Agrícola y del Medio Rural,43,21,26,18,28,18
Grado en Ingeniería Biomédica,0,0,40,41,41,40
Grado en Ingeniería Eléctrica,22,21,17,12,17,12
Grado en Ingeniería Energética,0,0,0,26,37,40
Grado en Ingeniería Forestal y del Medio Natural,25,28,27,24,25,27
Grado en Ingeniería Forestal: Industrias Forestales,6,9,15,7,5,5
Grado en Ingeniería Informática,117,117,114,114,115,116
Grado en Ingeniería Informática de Servicios y Aplicaciones,42,45,35,38,49,56
Grado en Ingeniería Mecánica,115,137,104,104,129,116
Grado en Ingeniería Química,44,42,37,36,49,56
Grado en Ingeniería de Tecnologías Específicas de Telecomunicación,23,35,31,37,24,34
Grado en Ingeniería de Tecnologías de Telecomunicación,47,54,58,32,42,40
Grado en Ingeniería de las Industrias Agrarias y Alimentarias,24,12,6,21,10,14
Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto,49,50,50,50,50,50
Grado en Ingeniería en Electrónica Industrial y Automática,97,89,98,83,90,57
Grado en Ingeniería en Organización Industrial,49,56,56,49,49,49
Grado en Ingeniería en Tecnologías Industriales,63,60,58,48,54,52
Grado en Lenguas Modernas y sus Literaturas,19,20,12,15,12,10
Grado en Logopedia,36,41,42,39,39,37
Grado en Marketing e Investigación de Mercados,58,54,60,59,62,58
Grado en Matemáticas,44,52,49,39,43,48
Grado en Medicina,182,181,180,182,181,181
Grado en Nutrición Humana y Dietética,41,39,38,41,41,40
Grado en Periodismo,119,128,120,120,117,120
Grado en Publicidad y Relaciones Públicas,192,183,183,178,179,142
Grado en Química,79,80,81,62,81,77
Grado en Relaciones Internacionales,0,0,0,0,0,61
Grado en Relaciones Laborales y Recursos Humanos,62,60,65,77,74,54
Grado en Trabajo Social,60,61,58,59,61,59
Grado en Traducción e Interpretación,70,68,62,69,55,57
Grado en Turismo,18,16,32,9,13,11
Grado en Óptica y Optometría,30,33,30,30,30,32
Programa de Doble Titulación Oficial: Grado en Comercio y Grado en Relaciones Laborales y Recursos Humanos,0,0,0,40,42,49
Programa de Doble Titulación Oficial: Grado en Derecho y Grado en Administración y Dirección de Empresas,62,49,55,54,56,53
Programa de Doble Titulación Oficial: Grado en Educación Primaria y Grado en Educación Infantil,83,90,83,85,81,74
Programa de Doble Titulación Oficial: Grado en Ingeniería Agrícola y del Medio Rural y Grado en Ingeniería Forestal y del Medio Natural,0,15,5,8,6,6
Programa de Doble Titulación Oficial: Grado en Ingeniería Agrícola y del Medio Rural y Grado en Ingeniería de las Industrias Agrarias y Alimentarias,0,5,0,0,0,0
Programa de Doble Titulación Oficial: Grado en Ingeniería Informática y Grado en Estadística,15,12,14,18,19,16
Programa de Doble Titulación Oficial: Grado en Ingeniería de Tecnologías de Telecomunicación y Grado en Administración y Dirección de Empresas,9,7,9,10,9,8
Programa de Doble Titulación Oficial: Grado en Ingeniería de las Industrias Agrarias y Alimentarias y Grado en Enología,0,7,7,5,7,0
Programa de Doble Titulación Oficial: Grado en Matemáticas y Grado en Física,11,8,13,9,14,10
Programa de Doble Titulación Oficial: Grado en Matemáticas y Grado en Ingeniería Informática de Servicios y Aplicaciones,11,0,11,15,6,5
Programa de Doble Titulación Oficial: Grado en Publicidad y Relaciones Públicas y Grado en Turismo,28,28,21,20,26,19
Programa de Doble Titulación Oficial: Grado en Relaciones Laborales y Recursos Humanos y Grado en Administración y Dirección de Empresas,27,33,28,14,12,15
