Titulacion,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Grado en Administración y Dirección de Empresas,5.0,5.0,5.0,5.0,5.0,5.1
Grado en Antropología Social y Cultural,0.0,0.0,0.0,0.0,7.698,0.0
Grado en Biomedicina y Terapias Avanzadas,0.0,0.0,0.0,0.0,9.04,5.035
Grado en Ciencias de la Actividad Física y del Deporte,0.0,0.0,0.0,5.424,7.698,5.554
Grado en Comercio,5.0,5.0,5.0,5.0,5.0,5.13
Grado en Criminología,0.0,0.0,0.0,0.0,5.0,5.2
Grado en Derecho,5.117,5.015,5.0,5.0,5.048,5.0
Grado en Economía,5.0,5.0,5.491,5.0,5.986,5.168
Grado en Educación Infantil,5.0,5.0,5.0,5.16,5.0,5.155
Grado en Educación Primaria,5.0,5.0,5.0,5.0,5.024,5.206
Grado en Educación Social,5.0,5.0,5.031,5.192,5.0,5.452
Grado en Enfermería,5.233,5.6,5.35,5.0,5.83,5.25
Grado en Enología,5.0,5.0,5.14,5.841,5.814,6.044
Grado en Español: Lengua y Literatura,5.167,5.0,5.384,5.912,5.0,5.0
Grado en Estadística,5.617,5.374,5.936,10.359,7.342,11.547
Grado en Estudios Clásicos,6.943,6.741,5.564,5.431,6.291,6.388
Grado en Estudios Ingleses,5.29,5.325,5.097,5.39,5.0,5.0
Grado en Filosofía,5.491,5.101,5.168,5.003,6.62,5.862
"Grado en Finanzas, Banca y Seguros",5.0,5.0,5.0,5.0,5.667,6.032
Grado en Fisioterapia,5.73,7.332,6.64,6.811,5.88,8.371
Grado en Fundamentos de la Arquitectura,5.0,5.0,5.0,5.0,5.84,5.059
Grado en Física,8.575,7.275,6.225,9.114,11.032,8.108
Grado en Geografía y Planificación Territorial,5.216,7.0,5.344,5.477,5.179,5.164
Grado en Historia,5.067,5.0,5.114,5.015,5.1,5.5
Grado en Historia del Arte,5.2,5.294,5.84,5.287,5.12,5.21
Grado en Historia y Ciencias de la Música,5.306,5.0,5.67,5.571,5.45,5.0
Grado en Ingeniería Agraria y Energética,5.0,5.121,5.67,5.286,5.48,8.171
Grado en Ingeniería Agrícola y del Medio Rural,5.0,5.0,5.171,5.674,5.0,5.507
Grado en Ingeniería Biomédica,0.0,0.0,6.8,7.239,8.076,7.996
Grado en Ingeniería Eléctrica,5.137,5.177,5.0,5.014,5.242,5.623
Grado en Ingeniería Energética,0.0,0.0,0.0,6.15,5.168,5.562
Grado en Ingeniería Forestal y del Medio Natural,5.328,5.195,6.06,5.93,5.465,5.19
Grado en Ingeniería Forestal: Industrias Forestales,5.058,5.492,5.0,6.67,5.701,6.21
Grado en Ingeniería Informática,5.398,5.67,6.059,5.38,6.461,9.03
Grado en Ingeniería Informática de Servicios y Aplicaciones,5.0,5.52,5.046,5.399,5.27,5.017
Grado en Ingeniería Mecánica,5.0,5.022,5.001,5.0,5.262,5.229
Grado en Ingeniería Química,5.177,5.0,5.484,5.391,5.104,5.0
Grado en Ingeniería de Tecnologías Específicas de Telecomunicación,5.615,5.156,5.239,5.0,5.46,5.0
Grado en Ingeniería de Tecnologías de Telecomunicación,5.0,5.387,5.156,5.988,7.615,6.499
Grado en Ingeniería de las Industrias Agrarias y Alimentarias,5.0,5.9,5.643,5.599,5.143,5.7
Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto,8.719,5.64,6.83,5.931,10.075,5.0
Grado en Ingeniería en Electrónica Industrial y Automática,5.0,5.387,5.278,5.0,5.03,5.4
Grado en Ingeniería en Organización Industrial,5.0,6.182,5.845,8.813,7.645,7.991
Grado en Ingeniería en Tecnologías Industriales,5.182,5.202,5.691,5.534,6.92,5.0
Grado en Lenguas Modernas y sus Literaturas,5.87,5.0,5.5,5.23,5.0,6.127
Grado en Logopedia,5.012,7.467,6.417,6.706,9.306,5.942
Grado en Marketing e Investigación de Mercados,5.28,5.0,5.06,6.364,7.42,7.23
Grado en Matemáticas,5.783,8.292,6.75,5.49,11.879,6.328
Grado en Medicina,5.158,5.36,6.09,5.03,5.01,5.0
Grado en Nutrición Humana y Dietética,5.22,8.234,7.19,8.316,5.354,8.49
Grado en Periodismo,5.329,5.032,6.057,5.0,5.3,5.269
Grado en Publicidad y Relaciones Públicas,5.01,5.033,5.032,5.0,5.527,5.0
Grado en Química,5.403,6.184,6.235,6.786,5.673,6.09
Grado en Relaciones Internacionales,0.0,0.0,0.0,0.0,0.0,5.0
Grado en Relaciones Laborales y Recursos Humanos,5.0,5.09,5.011,5.02,5.0,5.04
Grado en Trabajo Social,5.22,5.814,5.85,5.28,5.241,5.127
Grado en Traducción e Interpretación,5.0,5.0,5.0,5.738,5.0,5.0
Grado en Turismo,5.88,5.587,5.049,6.0,5.0,5.109
Grado en Óptica y Optometría,7.886,6.5,6.2,6.683,10.121,7.615
Programa de Doble Titulación Oficial: Grado en Comercio y Grado en Relaciones Laborales y Recursos Humanos,0.0,0.0,0.0,7.77,5.52,5.535
Programa de Doble Titulación Oficial: Grado en Derecho y Grado en Administración y Dirección de Empresas,9.011,8.729,9.023,6.192,10.023,7.262
Programa de Doble Titulación Oficial: Grado en Educación Primaria y Grado en Educación Infantil,5.353,5.42,5.527,6.08,6.842,7.698
Programa de Doble Titulación Oficial: Grado en Ingeniería Agrícola y del Medio Rural y Grado en Ingeniería Forestal y del Medio Natural,0.0,5.396,5.69,5.158,6.77,8.742
Programa de Doble Titulación Oficial: Grado en Ingeniería Agrícola y del Medio Rural y Grado en Ingeniería de las Industrias Agrarias y Alimentarias,0.0,5.416,0.0,0.0,0.0,0.0
Programa de Doble Titulación Oficial: Grado en Ingeniería Informática y Grado en Estadística,9.957,8.012,8.361,11.046,9.2,6.19
Programa de Doble Titulación Oficial: Grado en Ingeniería de Tecnologías de Telecomunicación y Grado en Administración y Dirección de Empresas,10.031,6.0,9.483,7.644,5.264,9.924
Programa de Doble Titulación Oficial: Grado en Ingeniería de las Industrias Agrarias y Alimentarias y Grado en Enología,0.0,6.0,5.763,6.517,5.47,0.0
Programa de Doble Titulación Oficial: Grado en Matemáticas y Grado en Física,10.069,12.996,6.5,11.094,12.178,13.161
Programa de Doble Titulación Oficial: Grado en Matemáticas y Grado en Ingeniería Informática de Servicios y Aplicaciones,7.466,0.0,9.746,11.284,12.29,12.106
Programa de Doble Titulación Oficial: Grado en Publicidad y Relaciones Públicas y Grado en Turismo,6.0,5.639,5.749,6.109,6.149,5.306
Programa de Doble Titulación Oficial: Grado en Relaciones Laborales y Recursos Humanos y Grado en Administración y Dirección de Empresas,5.29,5.099,6.591,5.503,7.61,7.765
