Titulacion,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Grado en Administración y Dirección de Empresas,7.465843999999999,8.155371040723985,8.067550218340612,8.500995867768596,9.186354085603114,9.288265060240965
Grado en Antropología Social y Cultural,0.0,0.0,0.0,0.0,8.2748,0.0
Grado en Biomedicina y Terapias Avanzadas,0.0,0.0,0.0,0.0,13.142550000000004,12.832627906976741
Grado en Ciencias de la Actividad Física y del Deporte,0.0,0.0,0.0,9.137799999999999,10.427025000000002,10.499600000000001
Grado en Comercio,6.890093750000001,7.09622727272727,7.191412790697671,7.033934782608695,7.587471428571428,7.517401408450704
Grado en Criminología,0.0,0.0,0.0,0.0,9.398516666666668,9.80833870967742
Grado en Derecho,7.601676229508197,7.663665178571426,7.6183193277310925,8.198904347826087,8.33470325203252,8.360205240174675
Grado en Economía,7.71684705882353,7.364855072463769,8.922065573770496,9.702017241379314,9.727741935483866,8.880833333333333
Grado en Educación Infantil,6.502574999999999,6.8460046082949315,6.929625514403294,7.001940928270043,7.735388679245291,7.873194656488551
Grado en Educación Primaria,6.603392207792204,6.764315136476425,6.909064593301432,7.061735064935065,8.200748201438845,8.430067599067609
Grado en Educación Social,6.602079999999998,6.670083333333333,6.911999999999998,7.23685135135135,7.8073561643835605,8.237190476190476
Grado en Enfermería,10.040893470790378,10.22998611111111,10.572181184668995,11.276075862068968,11.629847750865043,11.491817241379305
Grado en Enología,6.632333333333334,6.7909523809523815,6.863777777777777,7.552608695652172,7.79175,6.928714285714285
Grado en Español: Lengua y Literatura,8.440028571428572,8.069914285714285,8.384897435897436,8.306571428571427,9.107862068965517,10.261718749999998
Grado en Estadística,7.707047619047621,7.717478260869566,10.179166666666665,11.170000000000002,11.7765625,12.431555555555555
Grado en Estudios Clásicos,9.175,8.6499,8.87825,9.8428,9.3355,9.957200000000004
Grado en Estudios Ingleses,6.970403846153847,7.379730769230769,7.786950819672132,7.734027027027028,8.76087323943662,8.847338983050847
Grado en Filosofía,7.578130434782609,8.002249999999998,7.261645161290323,7.97236,9.125166666666667,8.115599999999997
"Grado en Finanzas, Banca y Seguros",7.28594,7.374960784313724,7.50435294117647,7.16460606060606,8.226464285714288,8.893433333333332
Grado en Fisioterapia,9.811560000000002,10.15716,10.12988,10.753319999999999,10.638142857142856,10.656439999999998
Grado en Fundamentos de la Arquitectura,8.827191919191923,7.5651348314606714,8.33909638554217,9.08209574468085,9.83763440860215,9.539551724137933
Grado en Física,11.405944444444447,11.916407407407405,11.995178571428568,12.588327272727273,12.623807692307691,12.198499999999996
Grado en Geografía y Planificación Territorial,6.822615384615386,8.880777777777777,6.916222222222221,7.467466666666668,7.0567692307692305,7.0775555555555565
Grado en Historia,7.013016393442622,7.395579710144928,6.937972972972974,7.342492307692309,8.20413432835821,8.322702702702705
Grado en Historia del Arte,6.971484848484849,7.5172500000000015,7.6604800000000015,7.68567741935484,8.288933333333334,8.130666666666668
Grado en Historia y Ciencias de la Música,6.929357142857143,7.809947368421055,7.114473684210527,7.2958823529411765,8.0465,7.219384615384617
Grado en Ingeniería Agraria y Energética,6.510545454545454,6.328444444444444,7.065125,7.571055555555554,7.713100000000002,8.54675
Grado en Ingeniería Agrícola y del Medio Rural,6.813744186046514,6.495,7.618730769230767,7.283833333333334,8.906821428571428,8.5815
Grado en Ingeniería Biomédica,0.0,0.0,12.299900000000001,12.559975609756096,12.478463414634149,12.610149999999997
Grado en Ingeniería Eléctrica,7.204181818181817,7.636428571428572,7.237764705882352,7.7982499999999995,7.979470588235294,8.6285
Grado en Ingeniería Energética,0.0,0.0,0.0,9.31719230769231,9.893972972972975,8.899100000000002
Grado en Ingeniería Forestal y del Medio Natural,7.2078,7.027214285714287,8.091259259259258,7.859375000000001,7.762600000000003,8.29562962962963
Grado en Ingeniería Forestal: Industrias Forestales,6.45,6.739111111111111,6.9497333333333335,7.549999999999999,6.3058,7.735200000000001
Grado en Ingeniería Informática,8.473418803418804,8.94901709401709,9.165640350877187,9.981956140350881,10.640478260869566,11.068758620689659
Grado en Ingeniería Informática de Servicios y Aplicaciones,7.025738095238094,8.173733333333333,8.200114285714285,8.243263157894736,9.442938775510203,8.277910714285715
Grado en Ingeniería Mecánica,8.174886956521739,8.462240875912405,8.939461538461543,9.07268269230769,9.151922480620154,9.209698275862067
