Titulacion,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Grado en Administración y Dirección de Empresas,12.809,13.456,13.227,13.423,13.21,13.546
Grado en Antropología Social y Cultural,0.0,0.0,0.0,0.0,9.56,0.0
Grado en Biomedicina y Terapias Avanzadas,0.0,0.0,0.0,0.0,13.817,13.81
Grado en Ciencias de la Actividad Física y del Deporte,0.0,0.0,0.0,13.246,12.077,12.223
Grado en Comercio,13.914,12.049,13.415,11.539,12.792,12.327
Grado en Criminología,0.0,0.0,0.0,0.0,11.606,11.729
Grado en Derecho,11.18,11.71,11.92,11.55,11.884,11.7
Grado en Economía,13.115,12.946,13.291,13.32,13.487,13.146
Grado en Educación Infantil,10.578,10.2,9.711,10.118,13.221,13.531
Grado en Educación Primaria,10.502,11.611,10.418,11.65,13.54,13.292
Grado en Educación Social,10.078,10.579,9.655,10.213,12.916,12.026
Grado en Enfermería,13.03,12.48,13.705,13.328,13.9,13.368
Grado en Enología,9.27,9.516,8.529,12.027,10.771,7.587
Grado en Español: Lengua y Literatura,11.75,11.579,12.315,11.406,13.475,13.508
Grado en Estadística,12.385,13.4,12.439,12.17,12.715,13.687
Grado en Estudios Clásicos,13.104,12.316,12.245,13.095,13.64,13.859
Grado en Estudios Ingleses,10.154,12.256,11.769,12.425,13.412,13.295
Grado en Filosofía,10.974,11.584,11.209,11.181,13.321,11.189
"Grado en Finanzas, Banca y Seguros",12.674,12.675,11.526,11.331,12.78,11.676
Grado en Fisioterapia,10.84,11.382,12.188,12.723,12.422,12.22
Grado en Fundamentos de la Arquitectura,12.751,12.804,12.447,13.231,13.68,12.524
Grado en Física,13.729,13.558,13.585,13.904,13.583,13.975
Grado en Geografía y Planificación Territorial,9.819,11.264,9.458,10.023,10.05,10.242
Grado en Historia,10.765,12.153,11.599,12.0,13.373,13.705
Grado en Historia del Arte,10.498,10.446,11.511,12.571,13.226,11.522
Grado en Historia y Ciencias de la Música,9.0,12.343,9.739,10.94,12.886,9.906
Grado en Ingeniería Agraria y Energética,9.374,7.88,8.934,11.105,11.193,8.835
Grado en Ingeniería Agrícola y del Medio Rural,9.99,9.21,12.999,10.358,12.454,12.84
Grado en Ingeniería Biomédica,0.0,0.0,13.875,13.548,13.75,13.545
Grado en Ingeniería Eléctrica,13.056,12.913,10.427,12.048,10.906,12.879
Grado en Ingeniería Energética,0.0,0.0,0.0,12.367,13.018,13.137
Grado en Ingeniería Forestal y del Medio Natural,11.881,11.349,12.999,11.25,11.262,12.49
Grado en Ingeniería Forestal: Industrias Forestales,7.556,9.961,9.553,8.576,6.96,9.0
Grado en Ingeniería Informática,12.939,13.4,12.439,13.232,12.858,13.466
Grado en Ingeniería Informática de Servicios y Aplicaciones,13.217,12.866,13.119,13.554,13.413,13.553
Grado en Ingeniería Mecánica,12.858,13.186,13.28,12.906,13.283,12.991
Grado en Ingeniería Química,12.502,13.127,13.007,12.526,13.443,13.182
Grado en Ingeniería de Tecnologías Específicas de Telecomunicación,13.526,12.379,12.426,12.236,12.271,13.495
Grado en Ingeniería de Tecnologías de Telecomunicación,12.809,13.456,13.064,13.563,13.9,13.81
Grado en Ingeniería de las Industrias Agrarias y Alimentarias,10.73,8.457,12.011,12.237,12.454,13.0
Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto,12.962,12.401,13.118,13.745,13.76,13.657
Grado en Ingeniería en Electrónica Industrial y Automática,13.281,13.595,13.641,13.524,13.741,13.521
Grado en Ingeniería en Organización Industrial,12.654,12.587,13.043,13.157,13.69,12.974
Grado en Ingeniería en Tecnologías Industriales,12.761,13.009,13.36,13.517,13.571,13.825
Grado en Lenguas Modernas y sus Literaturas,9.375,11.06,11.504,10.344,12.679,13.157
Grado en Logopedia,9.723,10.874,10.962,12.591,13.583,11.029
Grado en Marketing e Investigación de Mercados,11.833,11.853,12.381,13.319,13.22,13.194
